# 10, 50, 500, 0.100000, 1.000000, 24
# sample: 0, rndSeed: 1
0: 0, 0, 0, 0
1: 0, 804, 0, 869
2: 0, 1752, 0, 2031
3: 0, 2568, 0, 3199
4: 0, 3420, 0, 4493
5: 0, 3900, 0, 5512
6: 0, 4368, 0, 6522
7: 0, 4764, 0, 7406
8: 0, 5040, 0, 8132
9: 0, 5184, 0, 8670
10: 0, 5256, 0, 9075
11: 0, 5316, 0, 9459
12: 0, 5424, 0, 9790
13: 0, 5532, 0, 10064
14: 0, 5604, 0, 10279
15: 0, 5688, 0, 10546
16: 12, 5724, 0, 10669
17: 12, 5736, 0, 10764
18: 12, 5784, 0, 10901
19: 12, 5796, 0, 10985
20: 12, 5820, 0, 11068
21: 12, 5820, 1, 11122
22: 12, 5820, 1, 11165
23: 12, 5832, 3, 11222
24: 12, 5844, 4, 11270
25: 12, 5856, 5, 11307
26: 12, 5856, 7, 11324
27: 12, 5856, 8, 11350
28: 12, 5856, 12, 11391
29: 12, 5880, 16, 11435
30: 12, 5880, 19, 11469
31: 12, 5880, 21, 11490
32: 12, 5904, 24, 11531
33: 12, 5904, 24, 11536
34: 12, 5904, 24, 11546
35: 12, 5904, 24, 11556
36: 12, 5904, 24, 11559
37: 12, 5904, 24, 11577
38: 12, 5904, 24, 11582
39: 12, 5904, 24, 11590
40: 12, 5904, 24, 11607
41: 12, 5916, 24, 11627
42: 12, 5916, 24, 11633
43: 12, 5916, 24, 11644
44: 12, 5916, 24, 11656
45: 12, 5916, 24, 11666
46: 12, 5916, 24, 11670
47: 12, 5916, 24, 11674
48: 12, 5916, 24, 11691
49: 12, 5916, 24, 11705
# sample: 1, rndSeed: 2
0: 0, 0, 0, 0
1: 0, 912, 0, 1026
2: 0, 1872, 0, 2279
3: 0, 2772, 0, 3567
4: 0, 3636, 0, 4973
5: 0, 4308, 0, 6245
6: 0, 4728, 0, 7257
7: 0, 4992, 0, 8045
8: 0, 5172, 0, 8695
9: 0, 5340, 0, 9200
10: 0, 5424, 0, 9604
11: 0, 5544, 0, 9997
12: 0, 5604, 0, 10231
13: 0, 5676, 0, 10451
14: 12, 5700, 0, 10623
15: 12, 5772, 0, 10793
16: 12, 5832, 0, 10926
17: 12, 5868, 0, 11058
18: 12, 5904, 0, 11164
19: 12, 5916, 2, 11244
20: 12, 5928, 4, 11294
21: 12, 5928, 9, 11331
22: 12, 5928, 13, 11377
23: 12, 5928, 16, 11442
24: 12, 5928, 21, 11492
25: 12, 5928, 23, 11512
26: 12, 5940, 24, 11566
27: 12, 5940, 24, 11591
28: 12, 5940, 24, 11614
29: 12, 5952, 24, 11656
30: 12, 5952, 24, 11676
31: 12, 5952, 24, 11694
32: 12, 5952, 24, 11704
33: 12, 5952, 24, 11714
34: 12, 5952, 24, 11719
35: 12, 5964, 24, 11749
36: 12, 5976, 24, 11782
37: 12, 5976, 24, 11795
38: 12, 5976, 24, 11800
39: 12, 5976, 24, 11813
40: 12, 5976, 24, 11824
41: 12, 5976, 24, 11825
42: 12, 5976, 24, 11826
43: 12, 5976, 24, 11832
44: 12, 5976, 24, 11841
45: 12, 5976, 24, 11844
46: 12, 5976, 24, 11853
47: 12, 5976, 24, 11857
48: 12, 5976, 24, 11858
49: 12, 5976, 24, 11859
# sample: 2, rndSeed: 3
0: 0, 0, 0, 0
1: 0, 816, 0, 949
2: 0, 1848, 0, 2167
3: 0, 2664, 0, 3386
4: 0, 3492, 0, 4682
5: 0, 4008, 0, 5804
6: 0, 4500, 0, 6890
7: 0, 4800, 0, 7690
8: 0, 4968, 0, 8296
9: 0, 5148, 0, 8860
10: 0, 5256, 0, 9255
11: 0, 5364, 0, 9572
12: 0, 5448, 0, 9870
13: 0, 5508, 0, 10110
14: 0, 5568, 0, 10326
15: 0, 5652, 0, 10537
16: 12, 5700, 0, 10671
17: 12, 5772, 0, 10835
18: 12, 5808, 0, 10936
19: 12, 5820, 0, 11028
20: 12, 5820, 0, 11077
21: 12, 5844, 0, 11152
22: 12, 5856, 0, 11201
23: 12, 5880, 3, 11288
24: 12, 5880, 6, 11330
25: 12, 5892, 9, 11368
26: 12, 5904, 15, 11404
27: 12, 5916, 16, 11426
28: 12, 5916, 18, 11444
29: 12, 5916, 20, 11482
30: 12, 5928, 24, 11525
31: 12, 5952, 24, 11558
32: 12, 5952, 24, 11578
33: 12, 5952, 24, 11594
34: 12, 5952, 24, 11607
35: 12, 5952, 24, 11625
36: 12, 5952, 24, 11654
37: 12, 5952, 24, 11681
38: 12, 5952, 24, 11696
39: 12, 5952, 24, 11716
40: 12, 5952, 24, 11732
41: 12, 5952, 24, 11737
42: 12, 5952, 24, 11748
43: 12, 5952, 24, 11755
44: 12, 5952, 24, 11755
45: 12, 5952, 24, 11756
46: 12, 5952, 24, 11761
47: 12, 5952, 24, 11779
48: 12, 5964, 24, 11795
49: 12, 5964, 24, 11801
# sample: 3, rndSeed: 4
